MatchID,Year,Decade,Date,Time,Stage,StageType,Group,Stadium,HostCity,HostCountry,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,GoalDifference,Result,Winner,ExtraTime,PenaltyShootout,HomePenaltyGoals,AwayPenaltyGoals,HighScoringMatch,Scoreline
M-2002-15,2002,2000s,2002-06-05,15:30,Group Stage,Group Stage,Group H,Kobe Wing Stadium,Kobe,Japan,Russia,Tunisia,2,0,2,2,Home Win,Russia,No,No,0,0,No,2–0
M-2002-16,2002,2000s,2002-06-05,18:00,Group Stage,Group Stage,Group D,Suwon World Cup Stadium,Suwon,South Korea,United States,Portugal,3,2,5,1,Home Win,United States,No,No,0,0,Yes,3–2
M-2002-17,2002,2000s,2002-06-05,20:30,Group Stage,Group Stage,Group E,Kashima Stadium,Ibaraki,Japan,Germany,Republic of Ireland,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-18,2002,2000s,2002-06-06,15:30,Group Stage,Group Stage,Group A,Daegu World Cup Stadium,Daegu,South Korea,Denmark,Senegal,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-19,2002,2000s,2002-06-06,18:00,Group Stage,Group Stage,Group E,Saitama Stadium,Saitama,Japan,Cameroon,Saudi Arabia,1,0,1,1,Home Win,Cameroon,No,No,0,0,No,1–0
M-2002-20,2002,2000s,2002-06-06,20:30,Group Stage,Group Stage,Group A,Busan Asiad Stadium,Busan,South Korea,France,Uruguay,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2002-21,2002,2000s,2002-06-07,15:30,Group Stage,Group Stage,Group F,Kobe Wing Stadium,Kobe,Japan,Sweden,Nigeria,2,1,3,1,Home Win,Sweden,No,No,0,0,No,2–1
M-2002-22,2002,2000s,2002-06-07,18:00,Group Stage,Group Stage,Group B,Jeonju World Cup Stadium,Jeonju,South Korea,Spain,Paraguay,3,1,4,2,Home Win,Spain,No,No,0,0,No,3–1
M-2002-23,2002,2000s,2002-06-07,20:30,Group Stage,Group Stage,Group F,Sapporo Dome,Sapporo,Japan,Argentina,England,0,1,1,1,Away Win,England,No,No,0,0,No,0–1
M-2002-24,2002,2000s,2002-06-08,15:30,Group Stage,Group Stage,Group B,Daegu World Cup Stadium,Daegu,South Korea,South Africa,Slovenia,1,0,1,1,Home Win,South Africa,No,No,0,0,No,1–0
M-2002-25,2002,2000s,2002-06-08,18:00,Group Stage,Group Stage,Group G,Kashima Stadium,Ibaraki,Japan,Italy,Croatia,1,2,3,1,Away Win,Croatia,No,No,0,0,No,1–2
M-2002-26,2002,2000s,2002-06-08,20:30,Group Stage,Group Stage,Group C,Jeju World Cup Stadium,Seogwipo,South Korea,Brazil,China,4,0,4,4,Home Win,Brazil,No,No,0,0,No,4–0
M-2002-27,2002,2000s,2002-06-09,15:30,Group Stage,Group Stage,Group G,Miyagi Stadium,Miyagi,Japan,Mexico,Ecuador,2,1,3,1,Home Win,Mexico,No,No,0,0,No,2–1
M-2002-28,2002,2000s,2002-06-09,18:00,Group Stage,Group Stage,Group C,Incheon Munhak Stadium,Incheon,South Korea,Costa Rica,Turkey,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-29,2002,2000s,2002-06-09,20:30,Group Stage,Group Stage,Group H,International Stadium Yokohama,Yokohama,Japan,Japan,Russia,1,0,1,1,Home Win,Japan,No,No,0,0,No,1–0
M-2002-30,2002,2000s,2002-06-10,15:30,Group Stage,Group Stage,Group D,Daegu World Cup Stadium,Daegu,South Korea,South Korea,United States,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-31,2002,2000s,2002-06-10,18:00,Group Stage,Group Stage,Group H,Ōita Stadium,Ōita,Japan,Tunisia,Belgium,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2002-32,2002,2000s,2002-06-10,20:30,Group Stage,Group Stage,Group D,Jeonju World Cup Stadium,Jeonju,South Korea,Portugal,Poland,4,0,4,4,Home Win,Portugal,No,No,0,0,No,4–0
M-2002-33,2002,2000s,2002-06-11,15:30,Group Stage,Group Stage,Group A,Incheon Munhak Stadium,Incheon,South Korea,Denmark,France,2,0,2,2,Home Win,Denmark,No,No,0,0,No,2–0
